name,yocto_version,url
poky-glibc-x86_64-core-image-minimal-aarch64-toolchain-ext-2.6.4.sh,yocto-2.6.4,http://downloads.yoctoproject.org/releases/yocto/yocto-2.6.4/toolchain/x86_64/poky-glibc-x86_64-core-image-minimal-aarch64-toolchain-ext-2.6.4.sh
poky-glibc-x86_64-core-image-minimal-aarch64-toolchain-ext-2.6.4.sh.md5sum,yocto-2.6.4,http://downloads.yoctoproject.org/releases/yocto/yocto-2.6.4/toolchain/x86_64/poky-glibc-x86_64-core-image-minimal-aarch64-toolchain-ext-2.6.4.sh.md5sum
